case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_027,5,ok,2363952,559163,4.227661701507432,3317760,2079723,3.71935017159576,v4_idblock_2,,2.431,,,,,,,
case_028,2,ok,43836040,22104055,1.9831673419198423,284771016,41163990,1.8622822825947547,v4_idblock_1,,68.978,,,,,,,
case_028,3,ok,43836040,16770711,2.613845054034978,277369056,41163990,2.454516686859609,v3_seed,,59.923,,,,,,,
case_028,4,ok,43836040,13592861,3.2249310869875,277676160,41163990,3.0283536335727996,v4_idblock_48,,51.68,,,,,,,
case_028,5,ok,43836040,11491035,3.814803453300769,277818912,41058810,3.5731167819086793,v3_seed,,51.848,,,,,,,
case_029,2,ok,37555,25598,1.4671068052191578,471432,32142,1.2556449722634582,v3_seed,,1.319,,,,,,,
case_029,3,ok,37555,23074,1.6275894946693248,43054,27010,1.1705816070035537,v4_idblock_8,,1.251,,,,,,,
case_029,4,ok,37555,18514,2.028464945446689,180550,31148,1.6824025062115155,v4_idblock_2,,1.276,,,,,,,
case_029,5,ok,37555,16236,2.313069721606307,51252,27169,1.673380142892338,v4_idblock_8,,1.323,,,,,,,
case_030,2,ok,2808034,1427750,1.9667546839432675,11993592,2417297,1.6930814218175452,v4_idblock_8,,24.079,,,,,,,
case_030,3,ok,2808034,964644,2.9109536782481413,15496932,1928728,1.9994194749565644,v4_idblock_8,,24.56,,,,,,,
case_030,4,ok,2808034,727205,3.861406343465735,14063264,1644548,2.261464098844205,v4_idblock_8,,29.026,,,,,,,
case_030,5,ok,2808034,589914,4.760073502239309,17353508,1505653,2.552326271287001,v4_idblock_8,,23.81,,,,,,,
case_031,2,ok,1414369,774508,1.8261515697707449,5346806,1151235,1.4864081455582125,v4_idblock_16,,11.64,,,,,,,
case_031,3,ok,1414369,532831,2.6544420275847314,11382412,1038055,1.9481880746428042,v4_idblock_8,,13.403,,,,,,,
case_031,4,ok,1414369,403343,3.506615957138217,12911050,794560,1.9699362577260544,v4_idblock_8,,11.191,,,,,,,
case_031,5,ok,1414369,344357,4.107275298599999,13703968,903427,2.6235186158550574,v4_idblock_8,,10.786,,,,,,,
case_032,2,ok,41443,22200,1.8668018018018018,82032,32926,1.4831531531531532,v4_idblock_24,,1.242,,,,,,,
case_032,3,ok,41443,14178,2.9230497954577515,82032,33098,2.334461842290873,v4_idblock_24,,1.094,,,,,,,
case_032,4,ok,41443,14178,2.9230497954577515,82032,31820,2.2443221893073777,v4_idblock_24,,1.034,,,,,,,
case_032,5,ok,41443,14178,2.9230497954577515,82032,31820,2.2443221893073777,v4_idblock_24,,1.24,,,,,,,
case_033,2,ok,1774196,948426,1.870674148536628,12898424,1409558,1.4862076746103545,v4_idblock_8,,9.685,,,,,,,
case_033,3,ok,1774196,675977,2.62463959572589,17176740,1103244,1.6320732805997837,v4_idblock_8,,9.886,,,,,,,
case_033,4,ok,1774196,537389,3.3015115679703158,24081228,949338,1.76657505084771,v4_idblock_4,,9.834,,,,,,,
case_033,5,ok,1774196,479720,3.6983990661219046,19502552,891173,1.8576940715417327,v4_idblock_8,,9.646,,,,,,,
case_034,2,ok,842996,434660,1.9394377214374454,2193484,673189,1.548771453549901,v4_idblock_16,,8.741,,,,,,,
