case,cores,a_new_makespan,b_makespan,b_speedup,b_added_bytes,b_copy_amplification,b_active,b_groups,b_source,b_peak_L1,b_peak_UB,b_calls,b_valid,b_errors,b_cycle_errors,l2_makespan,l2_speedup,paired_makespan,cache_gain,paired_hit_rate,selected_hit_rate,selected_added_bytes,selected_source,l2_extra_search_gain,l2_calls,l2_errors
case_014,3,5961708,6040782,2.9298567635779604,77728796,8.825514007212512,3,2232,local1_fixed_16_move_206_0_0,524016,438,44,34,10,8,5992165,2.9536279458259243,5992255,1.0080982868719706,0.4541210487788465,0.4538921204617029,77728796,local1_b_candidate_local1_fixed_16_move_119_0_0_split_70_1,1.0000150196131115,45,11
case_014,4,4520765,4601282,3.8464554009078338,78842408,8.93762929463572,4,2232,local1_fixed_16_move_264_0_0,524016,372,44,36,8,6,4535513,3.9022324486778013,4537016,1.0141648166989052,0.5040465674047664,0.5047990389136036,78842408,local1_b_candidate_local1_fixed_16_move_148_0_0_split_90_1,1.0003313847849185,45,8
case_014,5,3842627,3829456,4.621707626357373,79754112,9.029417059139774,5,2232,local1_fixed_16_move_264_0_0,524016,348,44,39,5,5,3753079,4.715761645305095,3753186,1.020321401603864,0.532420587767258,0.5324252339651001,79754112,local1_paired_b_plan_split_119_2,1.0000285099247843,45,6
case_015,2,97138,94288,1.8810665195995249,311404,1.352022464035161,2,20,local1_a_selected_merge_0_2,196608,122890,72,56,16,1,94288,1.8810665195995249,94288,1.0,0.0,0.0,295016,local1_paired_b_plan_split_16_1,1.0,73,13
case_015,3,68260,91805,1.9319427046457165,1820888,3.058398352275682,3,1013,local1_fixed_1_swap_0_5,125952,98308,72,44,28,11,87419,2.028872441917661,87477,1.0494758622266425,0.2619768250862614,0.2619768250862614,1820888,local1_b_candidate_local1_fixed_1_swap_0_21_swap_0_22,1.0006634713277434,73,26
case_015,4,59806,79873,2.2205501233207716,2235226,3.5267811723531395,4,1013,local1_fixed_1_move_28_0_0,113664,57354,72,44,28,11,71984,2.463908646365859,73266,1.0901782545792045,0.3431506274068222,0.3407616911677792,2235226,local1_paired_b_plan_merge_28_0,1.0178095132251612,73,26
case_015,5,49799,75499,2.3491966781016966,2365878,3.6744749687434295,5,1013,fixed_1,116736,57346,72,41,31,10,66979,2.6480240075247465,66979,1.127204049030293,0.3534266380634373,0.3534266380634373,2365878,b_candidate_local1_fixed_1_merge_0_2,1.0,73,29
case_016,2,4550194,4027025,1.9159362060081573,404200,2.0279285281955555,2,17995,fixed_1,393216,65546,44,27,17,8,4026193,1.9163321281418948,4026193,1.0002066468249287,0.49653249554250156,0.49653249554250156,404200,b_candidate_local1_fixed_1_merge_0_1,1.0,45,15
case_016,3,3712678,3030137,2.5462620997004426,609332,2.549603527814088,3,17995,fixed_1,262144,65542,44,27,17,10,3029818,2.5465301876218307,3029818,1.0001052868522136,0.5947175345539961,0.5947175345539961,609332,b_candidate_local1_fixed_1_merge_0_1,1.0,45,15
case_016,4,3241338,2395892,3.2203133530225903,744064,2.8922429797211726,4,17995,local1_fixed_1_swap_0_3,196608,65540,44,27,17,10,2392698,3.224612132412866,2392698,1.001334894750612,0.6414804707487635,0.6414804707487635,744064,local1_paired_b_plan_merge_0_1,1.0,45,14
