case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_042,4,1686740,424031,3.97786954255703,9188124,6385436,2802688,round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_4_split_12_2_split_11_1_split_32_1_merge_10_24,0.25,,,,,,,
case_043,5,677656,269610,2.5134676013500985,864246,864246,0,round4_round3_round1_structure_components_pipe_critical_order_worksplit_1_2_4_tensorlocal_1000008448_2,0.391,,,,,,,
case_043,2,677656,338386,2.002612401222273,613436,588856,24580,round4_round3_round2_round1_polish_seed_reference_a_affinity_64_bundle_2_placement_tensorlocal_1000009730_1_tensorlocal_1000009778_1_tensorlocal_1000009822_1_tensorlocal_1000009838_1,0.406,,,,,,,
case_043,3,677656,268430,2.524516633759267,92200,92200,0,round1_polish_seed_reference_a_affinity_64_bundle_3_placement_memory_order,0.39,,,,,,,
case_043,4,677656,268914,2.5199729281480323,266352,249940,16412,round4_round3_round2_round1_polish_seed_reference_a_affinity_64_bundle_3_memory_order_boundary_9364_4_tensorlocal_1000009822_3_tensorlocal_1000009750_3_tensorlocal_1000009730_3,0.391,,,,,,,
case_044,5,154407,73856,2.090649371750433,157376,157376,0,round5_round4_round3_round2_round1_polish_seed_reference_local1_adaptive_critical_25_move_42_1_0_placement_splitmove_55_56_1_0_splitmove_0_57_2_0_move_42_3_0_splitmove_7_58_4_0_boundary_672_56,0.109,,,,,,,
case_044,2,154407,60851,2.5374603539793923,1162848,1162848,0,round6_round5_round4_round3_round2_round1_structure_chains_8_boundary_54_0_tensorlocal_1000000467_1_tensorlocal_1000000359_1_merge_12_14_boundary_55_0_tensorlocal_1000000355_1,0.093,,,,,,,
case_044,3,154407,66265,2.330144118312835,2312640,2312640,0,round5_round4_round3_round2_round1_structure_chains_8_tensorlocal_1000000472_1_tensorlocal_1000000486_2_swap_0_0_tensorlocal_1000000220_1_tensorlocal_1000000113_1,0.11,,,,,,,
case_044,4,154407,75008,2.0585404223549486,221696,221696,0,round4_round3_round2_round1_seed_reference_local1_adaptive_critical_31_move_16_1_0_splitmove_10_46_2_0_move_11_3_0_tensorlocal_1000000755_2_tensorlocal_1000000025_3,0.109,,,,,,,
case_045,5,125614,26164,4.801024308209754,0,0,0,round1_seed_reference_a_affinity_64_bundle_5_split_2_1,0.125,,,,,,,
case_045,2,125614,63059,1.99200748505368,0,,,fixed_4,0.109,,,,,,,
case_045,3,125614,42601,2.94861622966597,0,0,0,round1_seed_reference_a_affinity_64_bundle_3_split_1_1,0.109,,,,,,,
case_045,4,125614,31878,3.940460505677897,0,0,0,round1_seed_reference_a_affinity_64_bundle_4_split_0_1,0.109,,,,,,,
